OverallQual,ExterQual,Foundation,BsmtQual,KitchenQual,FireplaceQu,GarageFinish,YearDiff,YearRemodAdd,1stFlrSF,GrLivArea,FullBath,GarageCars,Neighborhood,MasVnrType,HeatingQC,Fireplaces,MasVnrArea,GarageYrBlt,HouseStyle,Exterior1st,Exterior2nd,BsmtExposure,BsmtFinType1,GarageType,OverallCond,LotArea,BsmtFinSF1,LotFrontage,2ndFlrSF,SalePrice,no_garage,is_BsmtFinSF1_0,is_2ndFlrSF_0
5,1,3,2,1,1,1,11.114877048604,86.65664103720601,6.946975992135418,6.946975992135418,1,1,6,1,4,0,0.0,1965,4,8,8,1,3,2,8,9.323669057283185,906,4.248495242049359,0,129500,0,0,1
9,3,6,4,3,4,3,0.0,87.57678270623478,7.074963197966044,7.751045117971802,3,3,24,4,4,2,286.0,2005,6,4,3,1,6,6,8,9.386308454797962,998,4.442651256490317,1142,345000,0,0,0
5,1,3,2,1,1,1,11.564659966250536,86.58893836140038,6.815639990074331,6.815639990074331,1,1,6,1,2,0,0.0,1962,4,8,10,1,4,2,5,9.470240063415512,737,4.188479253599565,0,144000,0,0,1
7,2,6,3,2,4,2,0.0,87.59910713840847,7.309212365692763,7.309212365692763,2,3,16,4,4,1,306.0,2006,4,11,13,3,5,5,8,9.273502946933823,0,4.51085950651685,0,279500,0,1,1
6,1,3,2,1,2,2,11.85640646055102,86.54377448471462,7.133295954896068,7.133295954896068,1,1,9,2,2,1,212.0,1960,4,6,4,1,2,5,8,9.298351249298896,733,4.208263098622323,0,157000,0,0,1
7,1,2,2,1,1,1,15.663521732655692,87.46507698538016,6.74993119378857,6.74993119378857,1,2,5,1,4,0,0.0,1991,0,5,2,1,5,2,4,8.719317375506371,0,3.9318256327243257,0,132000,0,1,1
6,1,3,2,1,3,3,10.649110640673516,86.76936408468859,6.911747300251674,6.911747300251674,1,2,9,2,4,1,180.0,1970,4,5,2,1,4,5,6,9.327323087461798,578,4.196134814204288,0,149000,0,0,1
4,1,1,0,1,1,1,10.489995996796795,86.70174744614673,7.16703787691222,7.16703787691222,2,2,6,1,2,0,0.0,1967,4,6,4,0,0,1,8,9.286467732363734,0,4.276666119016055,0,90000,0,1,1
5,1,6,2,2,1,1,2.0,87.53211714239757,7.01571242048723,7.01571242048723,1,2,12,1,4,0,0.0,2004,4,11,13,1,6,2,8,9.524786081697178,646,4.189654742026425,0,159000,0,0,1
5,1,3,2,1,1,1,12.282856857085699,86.65664103720601,7.199678345691172,7.199678345691172,1,1,9,1,2,0,0.0,1958,4,9,10,1,1,5,5,8.930626469173578,504,4.248495242049359,0,139000,0,0,1
8,2,6,4,2,4,2,0.0,87.57678270623478,7.05444965813294,7.773173680482536,3,3,24,2,4,1,380.0,2005,6,11,13,3,5,6,8,9.5620530240851,0,4.61512051684126,1218,325300,0,1,0
7,1,6,2,2,4,1,15.549928774784245,86.31760866327848,7.010311867307229,7.010311867307229,1,1,1,1,4,1,0.0,1930,0,5,2,1,5,5,6,8.915835074176277,0,4.04305126783455,0,139400,0,1,1
8,2,6,3,2,4,2,2.8989794855663558,87.48742928478838,7.492760300922379,7.492760300922379,2,2,16,2,4,1,281.0,2002,4,11,13,1,5,5,8,9.184201714366488,0,4.31748811353631,0,230000,0,1,1
5,1,6,3,1,3,1,9.135528725660045,86.90444308357146,6.966024187106113,6.966024187106113,1,2,0,1,2,1,0.0,1976,4,12,14,1,6,5,6,8.348537825386098,840,3.784189633918261,0,129900,0,0,1
5,1,3,2,2,3,1,10.96148139681572,87.46507698538016,6.966024187106113,6.966024187106113,1,1,6,1,4,1,0.0,1968,4,10,10,2,3,5,4,9.017483513266844,188,4.203732212186414,0,154000,0,0,1
8,2,6,3,2,4,2,0.8284271247461901,87.59910713840847,7.3777589082278725,7.3777589082278725,2,3,24,4,4,1,640.0,2007,4,11,13,1,5,5,8,9.563107691083898,0,4.700480365792417,0,256300,0,1,1
5,1,3,2,2,1,1,13.362291495737217,87.44271909999158,6.802394763324311,6.802394763324311,1,2,9,1,2,0,0.0,2005,4,5,2,2,2,2,6,8.881836305004146,234,4.0943445622221,0,134800,0,0,1
8,2,6,4,2,4,2,1.4641016151377548,87.62142600963232,7.440733707389261,7.440733707389261,2,3,24,4,4,1,200.0,2008,4,11,13,1,6,5,8,9.348187438668308,1218,4.584967478670572,0,306000,0,0,1
5,1,3,2,1,4,2,11.999999999999998,87.37561188601732,7.3777589082278725,7.3777589082278725,1,1,9,1,2,2,0.0,1957,4,6,4,4,2,5,5,9.700207901150696,1277,3.8501476017100584,0,207500,0,0,1
4,1,2,2,0,1,1,16.000000000000004,86.31760866327848,6.253828811575473,6.253828811575473,1,1,5,1,1,0,0.0,1920,4,6,4,1,5,2,5,8.752107198329362,0,4.0943445622221,0,68500,0,1,1
4,1,2,2,1,1,1,16.761663039293722,86.31760866327848,6.47543271670409,7.183111701743281,1,1,1,1,2,0,0.0,1920,6,9,9,1,5,2,3,9.047821442478408,0,3.912023005428146,668,40000,0,1,0
5,1,3,2,2,1,1,10.96148139681572,87.57678270623478,7.113142108707088,7.113142108707088,1,1,6,1,3,0,0.0,1966,4,8,8,1,5,5,5,9.052984561199976,0,4.196668514961272,0,149350,0,1,1
8,2,6,4,2,1,2,0.0,87.59910713840847,7.1180162044653335,7.1180162044653335,2,2,16,1,4,0,0.0,2007,4,11,13,3,5,5,8,9.310095205113175,0,4.442651256490317,0,179900,0,1,1
5,1,3,2,2,4,2,12.282856857085699,86.52118390532293,7.438383530044307,7.438383530044307,1,2,9,1,3,1,0.0,1959,4,9,9,1,3,5,8,9.26407069439715,1018,4.248495242049359,0,165500,0,0,1
9,3,6,4,3,4,3,0.8284271247461901,87.55445270895245,7.353081920515432,7.353081920515432,2,2,24,2,4,1,246.0,2005,4,6,4,1,6,5,8,8.89740886527095,1153,4.0943445622221,0,277500,0,0,1
8,2,6,4,2,4,3,0.8284271247461901,87.55445270895245,7.0317412587631285,7.804659297056102,3,3,24,4,4,1,132.0,2004,6,11,13,3,5,6,8,9.504352368122833,0,4.68213122712422,1320,309000,0,1,0
5,1,6,3,1,1,1,5.745966692414834,87.33084573650919,7.00033446027523,7.00033446027523,1,2,16,1,4,0,0.0,1995,4,11,13,1,5,5,8,9.2927495082169,0,4.718498871295094,0,145000,0,1,1
5,1,3,2,1,3,3,12.832396974191328,87.21883209278185,7.167809184316444,7.167809184316444,1,2,9,2,3,1,650.0,1954,4,5,2,1,3,5,5,9.05157907959124,1213,4.30406509320417,0,153000,0,0,1
5,1,3,2,2,1,1,13.0996688705415,87.59910713840847,6.963189985870238,6.963189985870238,1,1,9,1,2,0,0.0,1953,4,11,13,1,6,2,6,8.977398978181862,731,4.219507705176107,0,109000,0,0,1
4,1,6,0,0,1,0,12.560219778561038,86.43076387773658,7.049254841255837,7.049254841255837,2,0,4,1,2,0,0.0,1950,4,3,10,0,0,0,8,8.706159290928861,0,4.174387269895637,0,82000,1,1,1
6,1,3,2,1,3,2,10.806248474865699,86.65664103720601,7.188412736496954,7.188412736496954,2,2,9,2,4,1,101.0,1965,4,5,2,1,3,5,8,9.066239028001926,643,4.430816798843313,0,160000,0,0,1
5,1,3,2,1,4,2,11.85640646055102,86.52118390532293,7.191429330036379,7.191429330036379,1,1,21,1,3,2,0.0,1959,4,11,13,4,2,5,5,9.735364715141987,967,4.74493212836325,0,170000,0,0,1
5,1,3,3,2,1,2,7.797958971132713,87.06177631284928,6.784457062637643,6.784457062637643,1,2,12,1,3,0,0.0,1983,3,8,8,3,4,5,6,9.124782483614537,747,4.188479253599565,0,144000,0,0,1
5,1,3,3,1,1,1,9.489125293076057,86.99438184514797,6.843749949006225,6.843749949006225,1,1,16,1,2,0,0.0,1977,4,11,13,3,1,2,5,9.126958763037132,280,4.167119159257087,0,130250,0,0,1
5,1,3,2,1,1,2,11.711309200802088,86.52118390532293,7.047517221357296,7.047517221357296,1,1,9,1,4,0,0.0,1959,4,9,2,1,4,5,5,8.980298078970817,179,4.248495242049359,0,141000,0,0,1
9,3,6,4,3,4,2,2.4721359549995796,87.55445270895245,7.468513271496337,7.468513271496337,2,2,24,2,4,1,412.0,2005,4,6,4,1,6,5,8,8.943506132037239,456,4.110873864173311,0,319900,0,0,1
7,2,6,4,2,5,2,2.8989794855663558,87.50977600240098,7.325148957955575,7.67275789664251,1,2,11,1,4,1,0.0,2003,1,11,13,1,6,5,8,9.458917724547202,1351,3.871201010907891,631,239686,0,0,0
8,2,6,3,2,1,2,0.0,87.57678270623478,7.412160334945205,7.412160334945205,2,3,20,1,4,0,0.0,2006,4,11,13,3,6,5,8,9.314339961994667,24,4.430816798843313,0,249700,0,0,1
4,1,2,2,1,1,0,16.867962264113206,87.62142600963232,6.601230118728877,7.280697195384741,2,0,3,1,3,0,0.0,1950,6,6,4,1,5,0,8,8.40200678160712,0,3.4965075614664802,716,113000,1,1,0
5,1,3,2,1,1,1,10.806248474865699,86.67919710958145,6.86171134048073,6.86171134048073,1,1,6,1,4,0,0.0,1966,4,8,8,1,2,5,6,8.954415331137593,763,4.189654742026425,0,127000,0,0,1
6,1,6,3,1,1,3,4.324555320336759,87.37561188601732,6.677083461247136,7.293017679772782,2,2,13,1,3,0,0.0,1997,6,11,13,3,6,5,5,9.537411412656335,182,4.237955467702606,676,177000,0,0,0
6,1,6,2,1,4,1,14.970562748477139,86.31760866327848,6.704414354964107,7.069874128458572,1,2,5,1,2,1,0.0,1985,1,5,2,1,5,2,5,8.738735461363474,0,3.9512437185814275,0,114500,0,1,1
5,0,3,3,1,1,1,11.711309200802088,86.61151166750291,6.704414354964107,6.704414354964107,1,2,1,1,2,0,0.0,1963,4,5,2,4,1,1,8,9.044521887281242,104,4.700480365792417,0,110000,0,0,1
9,2,3,4,2,4,3,7.999999999999998,87.1515563520907,7.518607216815252,7.518607216815252,0,3,19,1,3,1,0.0,1981,4,4,3,4,6,5,8,10.825183649068833,1810,4.219507705176107,0,385000,0,0,1
5,1,3,2,1,3,1,12.422205101855958,86.43076387773658,7.215239978730097,7.215239978730097,1,2,9,1,2,1,0.0,1962,5,6,4,1,4,2,8,8.872627365918836,384,4.0943445622221,0,130000,0,0,1
6,1,3,2,1,4,2,11.2664991614216,86.63407922464135,7.261927092702751,7.261927092702751,2,2,9,2,3,1,272.0,1964,4,8,10,1,2,5,8,9.227689010310796,490,4.605170185988092,0,180500,0,0,1
8,2,6,3,2,1,3,4.324555320336759,87.44271909999158,6.890609120147166,7.461065514354283,2,2,20,2,4,0,456.0,1999,6,6,4,1,6,5,8,7.8804263442924,649,3.1780538303479458,756,172500,0,0,0
7,2,6,3,2,1,2,0.8284271247461901,87.53211714239757,6.756932389247553,7.450079569807499,2,2,16,1,4,0,0.0,2004,6,11,13,1,5,5,8,9.36263218231844,0,4.48863636973214,860,196500,0,1,0
10,3,6,4,2,4,3,-1.9999999998,87.57678270623478,7.262628600974241,7.987864096085687,3,3,22,2,4,1,1031.0,2006,6,11,13,4,5,6,8,9.523836379320944,0,4.189654742026425,1519,438780,0,1,0
5,1,3,2,1,1,1,10.0,86.81441324469807,6.659293919683638,6.659293919683638,1,1,16,1,4,0,0.0,1973,4,8,8,3,4,2,6,8.881836305004146,632,4.0943445622221,0,124900,0,0,1
6,1,6,3,2,1,1,0.8284271247461901,87.53211714239757,7.05444965813294,7.05444965813294,1,2,12,1,4,0,0.0,2006,4,11,13,1,4,2,8,9.478227817099784,941,4.143134726391533,0,158000,0,0,1
5,1,2,2,0,1,1,16.65475810617763,87.35323161475472,6.364750756851911,7.01301578963963,1,1,1,1,2,0,0.0,1935,2,6,4,1,5,2,6,8.881836305004146,0,4.0943445622221,530,101000,0,1,0
8,2,6,3,2,4,2,0.0,87.57678270623478,7.222566018822171,7.222566018822171,2,2,24,4,4,1,178.0,2006,4,11,13,2,6,5,8,8.770594329891145,24,3.784189633918261,0,202500,0,0,1
7,1,2,2,1,1,1,16.867962264113206,86.31760866327848,6.804614520062624,7.444248649496705,2,2,3,1,3,0,0.0,1990,6,7,6,1,5,2,5,9.239899174217728,0,3.912023005428146,808,140000,0,1,0
7,1,6,3,2,1,2,4.92820323027551,87.39798655450802,6.963189985870238,7.617759576608505,2,2,16,2,4,0,573.0,1998,6,11,13,1,6,5,8,9.14580185083861,739,4.29826827444769,977,219500,0,0,0
8,2,6,4,2,4,2,1.4641016151377548,87.55445270895245,7.04141166379481,7.813187267521416,2,3,24,2,4,1,344.0,2004,6,11,13,3,5,6,8,9.16858043772795,0,4.330733340286331,1330,317000,0,1,0
7,1,3,3,1,4,2,10.649110640673516,87.19641248391105,7.699389406256737,7.699389406256737,2,2,9,2,2,1,287.0,1970,4,10,10,4,6,5,8,9.898475010712584,912,4.24233424905252,0,180000,0,0,1
7,2,6,3,2,1,2,2.0,87.50977600240098,7.2991214627108,7.2991214627108,2,2,16,2,4,0,167.0,2003,4,11,13,3,6,5,8,9.274722630905451,1013,4.276666119016055,0,226000,0,0,1
4,1,3,2,1,1,1,14.124515496597098,86.31760866327848,6.616065185132817,6.616065185132817,1,1,3,1,2,0,0.0,1945,4,6,4,1,5,5,5,8.435549202375727,0,3.8501476017100584,0,80000,0,1,1
7,2,3,2,1,3,3,12.560219778561038,86.3855191759374,7.1731917424865985,7.734996194022781,2,2,17,1,2,1,0.0,1953,1,9,1,1,2,5,3,9.654577374584886,603,4.394449154672439,983,225000,0,0,0
7,1,3,3,1,4,3,9.661903789690601,86.83692925805124,7.706612913964197,7.706612913964197,2,2,9,2,4,2,1115.0,1973,4,10,10,4,4,5,5,9.521568058002977,1880,4.553876891600541,0,244000,0,0,1
4,1,3,2,1,1,1,7.999999999999998,87.57678270623478,6.739336627357174,6.739336627357174,1,2,11,1,2,0,0.0,1987,4,8,10,1,4,2,5,8.935771938669784,565,4.23410650459726,0,129500,0,0,1
7,1,6,3,1,3,3,4.6332495807108005,87.39798655450802,6.785587645007929,7.4489161025442,2,2,13,2,3,1,40.0,1998,6,11,13,1,5,5,8,9.224341891611996,0,4.30406509320417,833,185000,0,1,0
5,1,3,2,1,1,1,12.966629547095769,87.50977600240098,6.990256500493881,6.990256500493881,1,2,9,2,3,0,104.0,1989,4,5,2,1,4,5,6,9.230142999272362,320,4.442651256490317,0,144900,0,0,1
3,2,3,1,1,1,1,17.493588689617926,86.31760866327848,6.733401891837359,7.380879035564116,2,1,3,1,3,0,0.0,1915,6,11,13,1,5,2,5,8.663887570567042,0,4.0943445622221,765,107400,0,1,0
4,1,3,3,1,1,1,10.0,86.83692925805124,6.26530121273771,6.895682697747868,1,1,0,1,2,0,0.0,1973,5,12,14,4,6,6,8,7.3752557780097545,462,3.044522437723423,462,91000,0,0,0
4,1,3,2,1,1,1,12.422205101855958,86.45337754998391,6.858565034791365,6.858565034791365,1,1,9,1,4,0,0.0,1956,4,11,13,1,4,2,6,9.044875932248651,228,4.175718024475424,0,135750,0,0,1
5,1,3,2,1,1,1,13.491933384829666,87.46507698538016,6.977281341630747,7.158513997329321,1,1,5,1,2,0,0.0,1948,1,5,2,1,2,2,8,9.06357899058078,336,3.912023005428146,213,127000,0,0,0
4,1,3,2,1,1,0,10.96148139681572,86.72429205127533,7.477604243197589,7.477604243197589,2,0,6,1,2,0,0.0,1950,4,8,8,1,5,0,8,9.285262298493443,0,4.276666119016055,0,136500,1,1,1
5,1,6,2,1,1,1,17.8997487421324,87.01685233707155,6.525029657843462,7.114769448366463,1,2,3,1,3,0,0.0,1966,6,5,2,1,5,2,5,9.25339986143663,0,4.0943445622221,548,110000,0,1,0
6,1,3,3,2,4,3,10.806248474865699,86.72429205127533,7.074963197966044,7.669495251007694,2,1,9,2,2,1,576.0,1968,6,11,13,1,3,5,5,9.472704636443673,448,4.605170185988092,960,193500,0,0,0
6,1,6,4,1,1,3,3.6568542494923797,87.39798655450802,7.198183577101943,7.198183577101943,2,2,11,2,4,0,443.0,1998,4,11,13,1,6,5,8,8.411832675758411,1201,3.4657359027997265,0,153500,0,0,1
8,1,6,3,2,4,2,0.0,87.59910713840847,7.354362330421477,7.354362330421477,2,3,20,4,4,1,468.0,2007,4,11,13,1,6,5,8,9.230731061623917,33,4.356708826689592,0,245000,0,0,1
5,1,3,2,1,1,1,11.711309200802088,86.54377448471462,6.970730078143525,6.970730078143525,1,2,9,0,3,0,66.0,1974,4,6,4,1,5,2,8,9.092907275084087,0,4.382026634673881,0,126500,0,1,1
7,1,6,3,1,3,3,5.483314773547882,87.35323161475472,6.6895992691789665,7.295735072749282,2,2,13,2,3,1,22.0,1995,5,8,8,1,5,6,8,9.051344640485725,0,4.225443772230893,670,168500,0,1,0
8,2,3,3,2,3,1,5.745966692414834,87.26365441768559,7.170888478512505,7.790282380703483,2,2,23,2,4,1,284.0,1991,6,8,8,1,5,5,8,9.68402471906149,0,4.795790545596741,1116,260000,0,1,0
6,2,6,3,2,4,3,2.0,87.55445270895245,6.52795791762255,7.352441100243583,2,2,13,1,4,1,0.0,2005,6,11,13,3,5,6,8,9.385217621880901,0,4.804021044733257,876,174000,0,1,0
6,2,6,3,2,1,2,-1.9999999998,87.64373932405991,6.416732282512326,7.1098794630722715,2,2,20,4,4,0,76.0,2009,6,11,13,3,5,2,8,8.281723990411392,0,3.6888794541139363,612,164500,0,1,0
3,0,3,2,0,1,0,17.390719429665314,87.03931715820828,6.920671504248683,7.330405211844402,1,0,1,1,2,0,0.0,1950,1,10,10,1,5,0,1,9.0442857876461,0,4.653960350157523,0,85000,1,1,1
4,1,6,3,1,1,0,5.211102550927978,87.33084573650919,6.897704943128636,6.897704943128636,1,0,16,1,4,0,0.0,1950,4,11,13,1,6,0,8,8.995908761263994,588,4.0943445622221,0,123600,1,0,1
4,1,1,0,1,1,1,12.966629547095769,86.31760866327848,6.946975992135418,6.946975992135418,1,2,9,1,2,0,0.0,1950,4,9,2,0,0,2,8,8.881836305004146,0,4.0943445622221,0,109900,0,1,1
5,1,3,2,1,1,1,11.416407864998737,86.56635930193812,7.118826249062078,7.118826249062078,1,2,9,0,2,0,203.0,1961,4,8,8,1,3,5,2,9.047821442478408,600,4.442651256490317,0,98600,0,0,1
5,1,2,3,1,1,1,16.761663039293722,87.57678270623478,6.871091294610546,6.871091294610546,1,2,18,1,4,0,0.0,1921,4,5,2,1,4,2,6,9.500020447090638,713,4.382026634673881,0,163500,0,0,1
6,1,2,2,1,4,1,17.697715603592208,87.39798655450802,7.138866999945524,7.736743682453495,2,2,3,1,4,1,0.0,1900,2,6,4,2,3,2,5,8.881836305004146,1046,4.0943445622221,1031,133900,0,0,0
6,1,6,3,2,1,2,4.324555320336759,87.37561188601732,6.807934943699926,7.487733761436444,2,2,16,1,4,0,0.0,1997,6,11,13,1,6,5,8,9.141740280483926,648,4.23410650459726,881,204750,0,0,0
6,3,6,3,1,3,3,6.0,87.28605714219886,6.522092798170152,7.293017679772782,2,2,13,2,3,1,68.0,1993,6,11,13,1,4,6,4,9.186559843310778,310,4.249589877312566,790,185000,0,0,0
7,2,6,3,2,1,2,3.2915026221291805,87.42035562443262,7.370230641807081,7.370230641807081,2,2,16,2,4,0,183.0,1999,4,11,13,3,4,5,8,9.236397906295473,1162,4.356708826689592,0,214000,0,0,1
4,1,3,2,1,1,3,10.96148139681572,86.65664103720601,6.866933284461882,6.866933284461882,1,1,4,2,2,0,48.0,1965,4,8,8,1,3,5,8,9.298442820197728,520,4.290459441148391,0,94750,0,0,1
5,1,2,2,1,1,1,16.973665961010276,86.31760866327848,6.727431724850855,6.727431724850855,1,1,4,1,1,0,0.0,1920,4,5,2,1,4,3,8,9.270964993792617,108,4.442651256490317,0,83000,0,0,1
4,1,3,2,1,1,0,12.282856857085699,86.52118390532293,7.110696122978827,7.110696122978827,1,0,9,1,1,0,0.0,1950,4,10,10,1,4,0,8,9.139917907679637,569,4.343805421853684,0,128950,1,0,1
6,1,6,2,2,3,2,9.489125293076057,87.46507698538016,7.383989457978509,7.383989457978509,2,2,14,2,3,2,28.0,1977,4,10,10,2,4,5,6,9.268892258925797,1200,4.278097135555331,0,205000,0,0,1
6,2,3,3,2,3,3,7.999999999999998,87.10667763978184,6.884486652042782,7.4570320891223805,2,2,12,2,2,1,336.0,1985,6,8,8,1,5,5,8,9.127610724377186,0,4.343805421853684,755,178000,0,1,0
5,1,1,0,1,1,1,8.954451150103322,86.97190567814089,7.336285660021297,7.336285660021297,2,2,12,1,2,0,0.0,1979,4,8,8,0,0,5,8,8.85623355614316,0,4.1588830833596715,0,118964,0,1,1
7,1,6,3,2,1,2,0.0,87.64373932405991,7.111512116496157,7.111512116496157,2,3,16,1,4,0,0.0,2009,4,11,13,1,5,5,8,9.249753374333018,0,4.543294782270004,0,198900,0,1,1
7,1,6,2,1,3,1,15.435595774162692,86.31760866327848,7.111512116496157,7.505492274737424,1,1,1,2,4,2,600.0,1951,1,7,6,1,1,2,3,8.956479847999912,224,4.226923887401282,592,169500,0,0,0
8,2,6,4,2,4,2,2.4721359549995796,87.53211714239757,6.959398512133975,7.596894438144544,2,2,20,2,4,1,768.0,2003,6,11,13,1,5,5,8,9.14580185083861,0,4.31748811353631,939,250000,0,1,0
4,1,2,1,1,1,1,20.090722034374522,87.33084573650919,6.953684210870537,6.953684210870537,1,1,3,1,3,0,0.0,1954,4,11,13,1,5,2,6,9.287301413112312,0,4.0943445622221,0,100000,0,1,1
5,1,3,2,1,1,1,13.491933384829666,86.31760866327848,6.670766320845874,6.670766320845874,1,1,3,1,4,0,0.0,1948,4,11,13,1,4,2,8,8.699514748210191,104,3.912023005428146,0,115000,0,0,1
5,1,3,2,0,1,0,16.761663039293722,87.55445270895245,6.904750769961838,7.324489979348532,2,0,1,1,2,0,0.0,1950,1,12,14,1,5,0,6,9.047821442478408,0,4.442651256490317,520,115000,1,1,0
6,1,3,3,1,3,2,9.489125293076057,86.92693630166285,7.519692404116539,7.519692404116539,2,2,14,2,4,1,480.0,1977,4,10,10,1,2,5,5,9.371693622333941,705,4.653960350157523,0,190000,0,0,1
6,1,3,2,1,1,1,12.422205101855958,86.81441324469807,7.103322062526113,7.5256399750415355,2,1,4,1,3,0,0.0,1954,1,5,2,1,3,5,3,9.161675199994901,444,4.31748811353631,639,136900,0,0,0
7,1,6,3,1,3,3,4.324555320336759,87.44271909999158,6.651571873589727,7.265429723253953,2,2,13,1,4,1,0.0,2000,5,11,13,1,6,6,8,8.955448122347393,250,4.24233424905252,656,180000,0,0,0
7,2,6,4,3,4,3,-1.9999999998,87.59910713840847,7.156176637480615,7.899524472032198,2,3,16,4,4,1,220.0,2007,6,11,13,3,6,6,8,9.206834232646894,984,4.343805421853684,1414,383970,0,0,0
6,1,3,3,2,4,1,12.696938456699069,86.3855191759374,7.7226775164680035,7.7226775164680035,2,2,18,2,2,2,184.0,1953,4,5,2,2,4,3,8,9.95227771670556,35,4.294819392081711,0,217000,0,0,1
6,1,3,2,2,3,1,13.748015748023622,87.48742928478838,7.269616749608169,7.749322464660356,2,1,18,1,4,1,0.0,1945,6,5,2,1,4,2,4,8.889997357284841,774,4.110873864173311,884,259500,0,0,0
6,1,6,3,1,2,1,3.6568542494923797,87.42035562443262,6.591673732008658,7.284820912568604,2,2,20,2,3,1,1129.0,1999,6,6,4,1,6,2,8,8.080237416216702,419,3.5263605246161616,729,176000,0,0,0
5,1,3,2,1,0,1,11.711309200802088,86.58893836140038,6.9957661563048505,6.9957661563048505,1,1,6,2,2,1,116.0,1962,4,5,2,1,1,5,8,9.360138737064577,170,4.18076463295831,0,139000,0,0,1
5,1,6,3,1,1,1,0.0,87.59910713840847,7.025538314638521,7.025538314638521,1,2,4,1,3,0,0.0,2007,4,11,13,1,5,5,8,9.05204779298159,0,4.30406509320417,0,155000,0,1,1
7,1,6,3,2,3,1,6.944271909999157,87.21883209278185,7.4377951216719325,8.07775756373692,3,3,12,1,3,2,0.0,1990,6,10,10,2,6,5,8,9.423514392252901,1470,4.499809670330265,1523,320000,0,0,0
6,2,6,3,2,4,3,0.0,87.57678270623478,6.590301048196686,7.283448228756631,2,2,16,1,4,1,0.0,2005,6,11,13,1,5,5,8,9.0432226489245,0,4.174387269895637,728,163990,0,1,0
6,1,3,2,1,3,1,10.165525060596439,86.74683092933516,6.895682697747868,6.895682697747868,1,2,17,1,4,2,0.0,1969,5,10,10,4,4,5,8,9.973619774716505,938,4.24233424905252,0,180000,0,0,1
4,1,6,2,1,1,1,14.492422502470646,86.31760866327848,6.648984550024776,7.023758954738443,1,1,1,1,3,0,0.0,1979,1,3,1,1,5,2,8,8.70946507906336,0,3.912023005428146,351,100000,0,1,0
6,1,3,2,1,1,1,12.14213562373095,86.49858755935034,6.984716320118266,6.984716320118266,1,1,9,2,3,0,135.0,1958,4,6,4,1,2,5,6,9.155250405658222,570,4.31748811353631,0,136000,0,0,1
6,2,6,3,2,1,2,5.745966692414834,87.28605714219886,7.089243155027514,7.089243155027514,2,2,12,1,4,0,0.0,1993,4,10,10,1,6,5,8,8.973604867142505,300,4.007333185232471,0,153900,0,0,1
