Prod. year,Cylinders,Airbags,Levy,Manufacturer,Model,Category,Leather interior,Fuel type,Engine volume,Mileage,Gear box type,Drive wheels,Doors,Wheel,Color
2011,6.0,12,-,BMW,530,Sedan,Yes,Petrol,3,112000 km,Tiptronic,Rear,04-May,Left wheel,Black
2013,4.0,4,-,HONDA,FIT,Sedan,No,Petrol,1.3,113000 km,Variator,Front,04-May,Right-hand drive,White
2012,4.0,12,781,TOYOTA,Camry SPORT,Sedan,Yes,Petrol,2.5,149000 km,Tiptronic,Front,04-May,Left wheel,Grey
2015,4.0,12,697,VOLKSWAGEN,Golf,Hatchback,Yes,Petrol,1.8,219232 km,Automatic,Front,04-May,Left wheel,Black
2010,8.0,12,1024,TOYOTA,Camry,Sedan,No,Petrol,2.5,224000 km,Tiptronic,Front,04-May,Left wheel,White
2011,6.0,8,-,MERCEDES-BENZ,GLK 350,Jeep,Yes,Petrol,3.5,11111 km,Tiptronic,Rear,04-May,Left wheel,Black
2009,8.0,12,-,BMW,X6,Jeep,Yes,Petrol,5.0 Turbo,240000 km,Tiptronic,4x4,04-May,Left wheel,Red
2011,8.0,12,1451,BMW,550,Sedan,Yes,Petrol,4.4 Turbo,176000 km,Tiptronic,Rear,04-May,Left wheel,White
2016,4.0,8,810,TOYOTA,Corolla S,Sedan,Yes,Petrol,1.8,39728 km,Automatic,Front,04-May,Left wheel,Black
2015,4.0,0,934,TOYOTA,RAV 4,Jeep,Yes,Petrol,2.5,89786 km,Automatic,4x4,04-May,Left wheel,Silver
2011,6.0,12,-,BMW,X5,Jeep,Yes,Diesel,3,263000 km,Tiptronic,4x4,04-May,Left wheel,Black
2014,4.0,12,-,VOLKSWAGEN,Passat,Sedan,Yes,Petrol,1.8 Turbo,68000 km,Tiptronic,Front,04-May,Left wheel,Carnelian red
2011,4.0,4,707,HYUNDAI,Tucson,Jeep,Yes,Diesel,2,161345 km,Automatic,Front,04-May,Left wheel,Silver
2013,4.0,6,-,CHEVROLET,Sonic,Hatchback,No,Petrol,1.8,160000 km,Manual,Front,04-May,Left wheel,Blue
2007,4.0,8,988,TOYOTA,Prius,Hatchback,No,Hybrid,1.5,160000 km,Automatic,Front,04-May,Left wheel,Carnelian red
2013,4.0,10,530,FORD,Fusion,Sedan,No,Petrol,1.6,152000 km,Tiptronic,Front,04-May,Left wheel,White
2010,4.0,12,761,TOYOTA,Prius,Hatchback,No,Hybrid,1.8,315000 km,Automatic,Front,04-May,Left wheel,Black
2011,4.0,12,645,LEXUS,CT 200h,Sedan,Yes,Hybrid,1.8,143000 km,Automatic,Front,04-May,Left wheel,Black
2015,4.0,4,765,SSANGYONG,REXTON,Jeep,Yes,Diesel,2,62575 km,Automatic,Front,04-May,Left wheel,Black
2015,4.0,0,765,SUBARU,XV,Sedan,Yes,Petrol,2,111285 km,Automatic,4x4,04-May,Left wheel,Black
2013,4.0,0,-,TOYOTA,Aqua,Hatchback,No,Hybrid,1.5,186000 km,Automatic,Front,04-May,Right-hand drive,Silver
2000,4.0,4,-,SUZUKI,Jimny,Jeep,No,Petrol,1.3,125000 km,Manual,4x4,02-Mar,Left wheel,Green
2012,4.0,8,-,FIAT,500,Sedan,Yes,Petrol,1.4,137600 km,Manual,Front,02-Mar,Left wheel,Brown
1998,4.0,2,-,FORD,Transit,Microbus,No,Diesel,2.5 Turbo,2222222 km,Manual,Rear,04-May,Left wheel,White
2007,6.0,4,1288,MERCEDES-BENZ,Vito,Goods wagon,No,Diesel,2.0 Turbo,180000 km,Manual,Rear,04-May,Left wheel,White
2014,4.0,4,584,NISSAN,Fuga,Sedan,No,Petrol,1.8,48000 km,Automatic,Front,04-May,Left wheel,Grey
2010,4.0,0,-,TOYOTA,Camry,Sedan,No,Petrol,2.5,264000 km,Tiptronic,Front,04-May,Left wheel,Black
2012,4.0,4,642,HYUNDAI,Santa FE,Jeep,Yes,Diesel,2,120000 km,Automatic,Front,04-May,Left wheel,White
2010,4.0,4,761,DAEWOO,Lacetti,Sedan,Yes,Petrol,1.8,46527 km,Automatic,Front,04-May,Left wheel,Black
1996,4.0,3,-,OPEL,Vectra,Sedan,No,CNG,2,23000 km,Manual,Rear,04-May,Left wheel,Green
2015,4.0,0,382,FORD,Fusion,Sedan,Yes,Hybrid,2,88795 km,Automatic,Front,04-May,Left wheel,Black
2016,6.0,12,1493,LEXUS,RX 350,Jeep,Yes,Petrol,3.5,118133 km,Automatic,4x4,04-May,Left wheel,White
2012,8.0,0,1363,LEXUS,GX 460,Jeep,Yes,Petrol,4.6,255406 km,Automatic,4x4,04-May,Left wheel,Black
2010,6.0,12,1324,TOYOTA,Highlander,Sedan,Yes,Hybrid,3.3,226198 km,Automatic,4x4,04-May,Left wheel,Green
2014,4.0,12,639,HYUNDAI,Sonata,Sedan,Yes,Petrol,2.0 Turbo,62000 km,Tiptronic,Front,04-May,Left wheel,White
2010,4.0,8,761,TOYOTA,Prius,Sedan,No,Hybrid,1.8,138160 km,Automatic,Front,04-May,Left wheel,Black
2011,4.0,12,645,TOYOTA,Prius,Jeep,Yes,Hybrid,1.8,326325 km,Automatic,Front,04-May,Left wheel,Silver
2011,4.0,12,-,TOYOTA,Prius,Hatchback,Yes,Hybrid,1.8,11111 km,Automatic,Front,04-May,Left wheel,White
2015,6.0,12,1104,BMW,640 M,Sedan,Yes,Petrol,3.0 Turbo,45916 km,Tiptronic,4x4,04-May,Left wheel,White
2011,6.0,12,1172,MERCEDES-BENZ,E 350,Sedan,Yes,Diesel,3.5,230696 km,Automatic,4x4,04-May,Left wheel,Black
2016,4.0,4,730,SSANGYONG,Actyon,Jeep,Yes,Diesel,1.6,35398 km,Automatic,Front,04-May,Left wheel,Blue
2017,4.0,4,1017,HYUNDAI,Sonata,Sedan,Yes,LPG,2,319682 km,Automatic,Front,04-May,Left wheel,Orange
2015,4.0,4,765,HYUNDAI,Genesis,Coupe,Yes,Petrol,2,61298 km,Automatic,Front,04-May,Left wheel,Grey
2014,4.0,12,749,HYUNDAI,Sonata,Sedan,Yes,Petrol,2.4,173925 km,Automatic,Front,04-May,Left wheel,Silver
2014,6.0,12,1053,MERCEDES-BENZ,E 350,Sedan,Yes,Petrol,3.5,146395 km,Automatic,Rear,04-May,Left wheel,Grey
2015,4.0,12,900,KIA,Optima,Sedan,No,Petrol,2.4,66100 km,Tiptronic,Front,04-May,Left wheel,Black
2009,4.0,0,1185,FORD,Escape,Jeep,Yes,Hybrid,2.5,193614 km,Automatic,Front,04-May,Left wheel,White
1999,6.0,12,-,NISSAN,Elgrand,Minivan,No,Petrol,3.5,150000 km,Tiptronic,Rear,04-May,Right-hand drive,Beige
2010,8.0,12,1736,BMW,X6,Jeep,Yes,Petrol,4.4,0 km,Automatic,4x4,04-May,Left wheel,Grey
2011,4.0,4,707,HYUNDAI,Tucson,Jeep,Yes,Diesel,2,151144 km,Automatic,Front,04-May,Left wheel,White
2018,4.0,12,1327,TOYOTA,Camry,Sedan,Yes,Petrol,2.5,60915 km,Automatic,Front,04-May,Left wheel,White
2012,6.0,10,1058,TOYOTA,Highlander,Jeep,No,Hybrid,3.5,68200 km,Automatic,4x4,04-May,Left wheel,White
2010,4.0,4,1399,LEXUS,RX 350,Jeep,Yes,Petrol,3.5,114382 km,Automatic,Front,04-May,Left wheel,Silver
2009,4.0,4,790,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.6,79355 km,Automatic,Front,04-May,Left wheel,Silver
2011,6.0,12,1172,MERCEDES-BENZ,E 350,Sedan,Yes,Petrol,3.5,129000 km,Tiptronic,Rear,04-May,Left wheel,Black
2005,4.0,10,-,ALFA ROMEO,159,Sedan,No,Petrol,2.2,152200 km,Manual,Front,04-May,Left wheel,Silver
2002,4.0,2,-,MITSUBISHI,Mirage,Sedan,No,Petrol,1.8,160000 km,Automatic,Front,04-May,Left wheel,White
2013,4.0,0,640,FORD,Fusion,Sedan,Yes,Hybrid,2,174619 km,Automatic,Front,04-May,Left wheel,Grey
2004,4.0,2,-,OPEL,Vectra,Goods wagon,No,Diesel,2.2 Turbo,156000 km,Automatic,4x4,04-May,Left wheel,Blue
2012,4.0,4,531,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.6,134000 km,Automatic,Front,04-May,Left wheel,White
2007,4.0,4,-,TOYOTA,Prius,Sedan,No,Hybrid,1.5,200000 km,Automatic,Front,04-May,Left wheel,White
2015,4.0,12,697,HYUNDAI,Elantra,Sedan,No,Petrol,1.8,85000 km,Tiptronic,Front,04-May,Left wheel,Black
2002,6.0,8,-,BMW,325,Sedan,Yes,CNG,2.5,220000 km,Tiptronic,Rear,04-May,Left wheel,Silver
1992,4.0,2,-,FORD,Sierra DIZEL,Sedan,No,Diesel,1.8 Turbo,168000 km,Manual,Rear,04-May,Left wheel,Green
2005,4.0,2,-,SUZUKI,Swift,Sedan,No,Petrol,1.3,200000 km,Manual,Front,04-May,Right-hand drive,Grey
2013,6.0,12,1055,MERCEDES-BENZ,E 350,Coupe,Yes,Diesel,3.5,0 km,Automatic,Rear,02-Mar,Left wheel,Silver
2012,4.0,12,531,NISSAN,Juke,Hatchback,Yes,Petrol,1.6,104000 km,Automatic,4x4,04-May,Left wheel,Black
2009,6.0,8,-,MERCEDES-BENZ,ML 320,Jeep,Yes,Diesel,3.0 Turbo,120345 km,Tiptronic,4x4,04-May,Left wheel,Black
2014,4.0,12,639,FORD,Focus,Hatchback,Yes,Petrol,2,90000 km,Tiptronic,Front,04-May,Left wheel,Black
2004,4.0,2,-,HONDA,FIT,Hatchback,No,Petrol,1.3,159000 km,Variator,Front,04-May,Right-hand drive,Sky blue
2009,4.0,4,-,HONDA,Insight,Hatchback,No,Hybrid,1.3,180000 km,Variator,Front,04-May,Right-hand drive,Silver
2016,4.0,4,431,HYUNDAI,Sonata,Sedan,Yes,Hybrid,2,251768 km,Automatic,Front,04-May,Left wheel,White
2011,4.0,0,-,JEEP,Patriot 70th anniversary,Jeep,Yes,Petrol,2.4,184000 km,Manual,4x4,04-May,Left wheel,Black
2015,4.0,0,353,TOYOTA,Prius,Hatchback,No,Hybrid,1.8,205338 km,Automatic,Front,04-May,Left wheel,Silver
2010,4.0,4,1399,FORD,Taurus,Sedan,Yes,Petrol,3.5,56503 km,Automatic,Front,04-May,Left wheel,Silver
2013,4.0,12,640,VOLKSWAGEN,CC,Sedan,Yes,Petrol,2,134400 km,Tiptronic,Front,04-May,Left wheel,White
2008,4.0,0,289,FORD,Escape,Jeep,Yes,Hybrid,0.4,349288 km,Automatic,Front,04-May,Left wheel,Blue
2011,4.0,4,707,KIA,Optima,Sedan,Yes,Petrol,2,75012 km,Automatic,Front,04-May,Left wheel,White
2011,8.0,0,1514,LEXUS,GX 470,Sedan,Yes,Petrol,4.6,202048 km,Automatic,4x4,04-May,Left wheel,White
2009,6.0,12,1624,MERCEDES-BENZ,E 350,Sedan,Yes,Diesel,3.5,266061 km,Automatic,4x4,04-May,Left wheel,Black
2014,4.0,8,-,TOYOTA,Aqua L paketi,Hatchback,No,Hybrid,1.5,70000 km,Tiptronic,Front,04-May,Right-hand drive,Silver
2014,4.0,4,528,HYUNDAI,Accent,Sedan,Yes,Diesel,1.6,143000 km,Automatic,Front,04-May,Left wheel,White
2016,4.0,12,518,LEXUS,ES 350,Sedan,Yes,Hybrid,2.5,129989 km,Automatic,Front,04-May,Left wheel,Grey
2011,4.0,0,831,HYUNDAI,Sonata,Jeep,Yes,Hybrid,2.4,278989 km,Automatic,Front,04-May,Left wheel,Blue
2010,4.0,4,761,DAEWOO,Lacetti,Sedan,Yes,Petrol,1.8,164466 km,Automatic,Front,04-May,Left wheel,Grey
2016,4.0,4,891,HYUNDAI,Sonata,Sedan,Yes,LPG,2,37898 km,Automatic,Front,04-May,Left wheel,Silver
2012,4.0,4,1111,HONDA,FIT,Hatchback,No,Hybrid,1.3,99000 km,Automatic,Front,04-May,Right-hand drive,Silver
2013,4.0,12,-,TOYOTA,Camry sport,Sedan,Yes,Petrol,2.5,116800 km,Tiptronic,Front,04-May,Left wheel,Grey
2012,4.0,0,586,LEXUS,CT 200h,Hatchback,Yes,Hybrid,1.8,142394 km,Automatic,Front,04-May,Left wheel,White
2006,6.0,12,-,NISSAN,Pathfinder,Jeep,Yes,Petrol,4,188200 km,Automatic,4x4,04-May,Left wheel,Silver
2012,6.0,0,919,BMW,X5,Jeep,Yes,Diesel,3,103458 km,Automatic,4x4,04-May,Left wheel,White
2000,6.0,8,-,BMW,528,Sedan,Yes,Petrol,2.8,333000 km,Tiptronic,Rear,04-May,Left wheel,Blue
2006,6.0,12,-,MERCEDES-BENZ,E 350,Sedan,Yes,Petrol,3.5,241000 km,Tiptronic,4x4,04-May,Left wheel,Black
2016,4.0,4,730,SSANGYONG,Actyon,Jeep,Yes,Diesel,1.6,60650 km,Automatic,Front,04-May,Left wheel,Blue
2010,4.0,8,761,TOYOTA,Prius,Hatchback,No,Hybrid,1.8,208000 km,Automatic,Front,04-May,Left wheel,Blue
2010,4.0,12,1024,SUBARU,Forester,Jeep,No,Petrol,2.5,182000 km,Tiptronic,4x4,04-May,Left wheel,Blue
2014,4.0,6,639,VOLKSWAGEN,Jetta TDI,Sedan,No,Diesel,2.0 Turbo,185000 km,Automatic,Front,04-May,Left wheel,White
2013,4.0,10,585,TOYOTA,Prius,Hatchback,No,Hybrid,1.8 Turbo,67700 km,Automatic,Front,04-May,Left wheel,White
2011,6.0,12,1172,MERCEDES-BENZ,E 350,Sedan,Yes,Diesel,3.5,119379 km,Automatic,4x4,04-May,Left wheel,Silver
2014,4.0,4,639,HYUNDAI,Santa FE,Jeep,Yes,Diesel,2,91018 km,Automatic,Front,04-May,Left wheel,Black
2012,4.0,10,-,KIA,Sportage,Jeep,No,Petrol,2.4,136000 km,Tiptronic,4x4,04-May,Left wheel,Grey
2012,4.0,4,531,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.6,121362 km,Automatic,Front,04-May,Left wheel,Black
2008,4.0,6,-,DODGE,Caliber,Hatchback,No,Petrol,2,240000 km,Variator,Front,04-May,Left wheel,Black
2012,4.0,4,531,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.6,104997 km,Automatic,Front,04-May,Left wheel,White
2016,4.0,6,-,MAZDA,Mazda 6,Sedan,Yes,Petrol,2.5,23000 km,Automatic,Front,04-May,Left wheel,Red
2013,4.0,12,751,HYUNDAI,Sonata,Sedan,Yes,Petrol,2.4,149123 km,Automatic,Front,04-May,Left wheel,Blue
2018,6.0,12,1872,VOLKSWAGEN,"1500,1600 Schtufenheck",Sedan,Yes,Petrol,3.6,66086 km,Automatic,Front,04-May,Left wheel,Grey
2009,4.0,4,966,DAEWOO,Lacetti,Sedan,Yes,Diesel,2,39031 km,Automatic,Front,04-May,Left wheel,Blue
2016,4.0,10,-,CADILLAC,CTS,Sedan,Yes,Petrol,2.0 Turbo,29000 km,Automatic,Rear,04-May,Left wheel,Grey
2015,6.0,12,1104,BMW,X5,Jeep,Yes,Petrol,3.0 Turbo,110400 km,Tiptronic,4x4,04-May,Left wheel,White
2014,4.0,0,-,VOLKSWAGEN,Jetta,Sedan,No,Petrol,2,129600 km,Manual,Front,04-May,Left wheel,White
2013,4.0,0,640,FORD,Fusion,Sedan,Yes,Hybrid,2,216658 km,Automatic,Front,04-May,Left wheel,Red
2016,4.0,4,891,HYUNDAI,Santa FE,Jeep,Yes,Diesel,2,121098 km,Automatic,Front,04-May,Left wheel,White
2009,4.0,10,-,TOYOTA,Prius,Sedan,Yes,Hybrid,1.5,15000 km,Automatic,Front,04-May,Left wheel,Golden
2015,6.0,6,1273,MERCEDES-BENZ,ML 350,Jeep,Yes,Petrol,3.5,49425 km,Automatic,4x4,04-May,Left wheel,Grey
2015,4.0,12,353,TOYOTA,Prius,Hatchback,Yes,Hybrid,1.8,67074 km,Automatic,Front,04-May,Left wheel,White
2010,4.0,4,836,HYUNDAI,Tucson,Jeep,Yes,Diesel,2,167512 km,Automatic,Front,04-May,Left wheel,Grey
2010,6.0,4,-,CHEVROLET,Niva,Jeep,No,Petrol,1.7,71436 km,Manual,4x4,04-May,Left wheel,Brown
2002,4.0,2,-,NISSAN,X-Trail,Jeep,No,Petrol,2,135000 km,Automatic,4x4,04-May,Left wheel,Golden
2013,4.0,4,779,HYUNDAI,H1,Universal,Yes,Diesel,2.5,197441 km,Automatic,Front,04-May,Left wheel,Silver
2008,4.0,6,1246,FORD,Escape,Jeep,Yes,Hybrid,2.3,156000 km,Automatic,4x4,04-May,Left wheel,Green
2018,4.0,12,1327,TOYOTA,Camry,Jeep,Yes,Petrol,2.5,23333 km,Automatic,Front,04-May,Left wheel,Silver
2014,6.0,12,1053,MERCEDES-BENZ,E 350,Sedan,Yes,Petrol,3.5,52142 km,Automatic,4x4,04-May,Left wheel,Black
1981,4.0,0,-,VAZ,2103 03,Sedan,Yes,Petrol,1.3,55000 km,Manual,Front,04-May,Left wheel,Orange
2012,4.0,8,503,TOYOTA,Prius C,Hatchback,No,Hybrid,1.5,128000 km,Variator,Front,04-May,Left wheel,Sky blue
2014,4.0,12,-,KIA,Optima,Sedan,Yes,Petrol,2.4,80000 km,Tiptronic,Front,04-May,Left wheel,Black
2013,4.0,10,-,FORD,C-MAX,Hatchback,No,Hybrid,2,160000 km,Variator,Front,04-May,Left wheel,Grey
2018,4.0,12,1277,JEEP,Compass,Sedan,Yes,Petrol,2.4,12520 km,Automatic,Front,04-May,Left wheel,Green
2012,4.0,12,642,BMW,528,Sedan,Yes,Petrol,2.0 Turbo,158400 km,Tiptronic,Rear,04-May,Left wheel,Black
2004,4.0,8,-,VOLKSWAGEN,Golf,Sedan,No,Petrol,2,225600 km,Manual,Front,02-Mar,Left wheel,Silver
2012,6.0,12,1197,TOYOTA,Tacoma,Sedan,Yes,Petrol,4,365810 km,Automatic,4x4,04-May,Left wheel,White
2009,6.0,12,1537,TOYOTA,Highlander,Jeep,Yes,Hybrid,3.3,420550 km,Automatic,4x4,04-May,Left wheel,Blue
2007,4.0,0,-,MAZDA,Demio,Hatchback,No,Petrol,1.5,165000 km,Manual,Front,04-May,Right-hand drive,Black
2010,4.0,12,-,TOYOTA,Prius,Hatchback,No,Hybrid,1.8,260000 km,Automatic,Front,04-May,Left wheel,Red
2013,8.0,12,1664,TOYOTA,Tundra,Coupe,Yes,Petrol,5.7,234683 km,Automatic,Rear,04-May,Left wheel,White
2018,4.0,12,463,TOYOTA,Prius,Hatchback,Yes,Hybrid,1.8,2102 km,Automatic,Front,04-May,Left wheel,White
2012,4.0,12,781,SUBARU,Outback,Jeep,No,Petrol,2.5,118000 km,Tiptronic,4x4,04-May,Left wheel,Black
2014,6.0,6,1080,DODGE,Caravan tradesman,Minivan,No,Petrol,3.6,130000 km,Tiptronic,Front,04-May,Left wheel,White
2005,4.0,0,-,NISSAN,X-Trail,Jeep,Yes,LPG,2,142000 km,Automatic,4x4,>5,Right-hand drive,Silver
2010,4.0,4,-,TOYOTA,Prius,Hatchback,Yes,Petrol,1.8,111111 km,Variator,Front,04-May,Left wheel,Black
2018,6.0,12,1872,JEEP,Grand Cherokee,Sedan,Yes,Petrol,3.6,30606 km,Automatic,Front,04-May,Left wheel,Grey
2011,4.0,8,1413,HONDA,FIT,Hatchback,No,Petrol,1.5,39333 km,Variator,Front,04-May,Right-hand drive,Silver
2010,4.0,4,836,HYUNDAI,Santa FE,Jeep,Yes,Diesel,2,188000 km,Automatic,Front,04-May,Left wheel,Grey
2014,4.0,12,271,TOYOTA,Prius,Hatchback,Yes,Hybrid,1.5,0 km,Automatic,Front,04-May,Left wheel,White
2002,6.0,4,-,SUBARU,Legacy,Sedan,Yes,Petrol,3,187000 km,Automatic,4x4,04-May,Right-hand drive,Silver
1999,4.0,0,-,FORD,Transit,Microbus,No,Diesel,2.4,0 km,Manual,Rear,02-Mar,Left wheel,White
1998,5.0,0,-,MERCEDES-BENZ,Sprinter,Microbus,No,Diesel,2.9 Turbo,0 km,Manual,Rear,02-Mar,Left wheel,Blue
2000,8.0,0,-,FORD,Expedition,Jeep,No,Petrol,4.6,0 km,Automatic,4x4,04-May,Left wheel,Black
2017,4.0,4,382,HONDA,FIT,Universal,Yes,Hybrid,1.5,22099 km,Automatic,Front,04-May,Left wheel,Blue
2012,8.0,0,1363,LEXUS,GX 460,Jeep,Yes,Petrol,4.6,255406 km,Automatic,4x4,04-May,Left wheel,Black
2011,7.0,12,-,TOYOTA,Prius,Hatchback,No,Hybrid,1.5,77000 km,Tiptronic,Front,04-May,Left wheel,White
2012,6.0,12,1058,TOYOTA,Highlander,Jeep,Yes,Petrol,3.5,140966 km,Automatic,4x4,04-May,Left wheel,Black
2014,4.0,4,639,HYUNDAI,Tucson,Jeep,Yes,Diesel,2,251201 km,Automatic,Front,04-May,Left wheel,Silver
2003,4.0,4,-,HONDA,FIT,Hatchback,No,Petrol,1.3,229000 km,Variator,Front,04-May,Right-hand drive,Silver
2014,6.0,12,1053,MERCEDES-BENZ,E 350,Sedan,Yes,Diesel,3.5,200179 km,Automatic,4x4,04-May,Left wheel,Black
2016,4.0,4,730,CHEVROLET,Orlando,Jeep,Yes,Diesel,1.6,51287 km,Automatic,Front,04-May,Left wheel,Grey
2014,4.0,12,394,TOYOTA,Camry,Sedan,Yes,Hybrid,2.5,179381 km,Automatic,Front,04-May,Left wheel,Black
2013,4.0,12,779,TOYOTA,Camry,Sedan,Yes,Petrol,2.5,156666 km,Automatic,Front,04-May,Left wheel,Black
2014,6.0,12,1053,MERCEDES-BENZ,E 350,Sedan,Yes,Diesel,3.5,331144 km,Automatic,Rear,04-May,Left wheel,Black
2011,4.0,4,-,FIAT,500,Coupe,No,Petrol,1.2,141000 km,Automatic,Front,02-Mar,Right-hand drive,Red
2013,6.0,12,917,LAND ROVER,Discovery,Jeep,Yes,Diesel,3.0 Turbo,135000 km,Tiptronic,4x4,04-May,Left wheel,Blue
2014,4.0,4,694,HYUNDAI,Santa FE,Jeep,Yes,Diesel,2.2,83126 km,Automatic,Front,04-May,Left wheel,White
2017,4.0,4,831,SSANGYONG,Actyon,Jeep,Yes,Diesel,1.6,50518 km,Automatic,Front,04-May,Left wheel,Blue
2014,4.0,4,639,HYUNDAI,Sonata,Sedan,Yes,LPG,2,421703 km,Automatic,Front,04-May,Left wheel,Silver
1998,4.0,4,-,MERCEDES-BENZ,E 200,Sedan,No,CNG,2,180003 km,Manual,Rear,04-May,Left wheel,Black
2012,4.0,12,-,CHEVROLET,Volt Full Packet,Sedan,Yes,Plug-in Hybrid,1.4,113600 km,Variator,Front,04-May,Left wheel,Black
2014,4.0,4,777,HYUNDAI,H1,Minivan,Yes,Diesel,2.5,146216 km,Automatic,Front,04-May,Left wheel,Silver
2009,4.0,4,1185,HYUNDAI,H1,Minivan,Yes,Diesel,2.5,176878 km,Automatic,Front,04-May,Left wheel,Silver
2014,4.0,4,639,HYUNDAI,Sonata,Sedan,Yes,LPG,2,430149 km,Automatic,Front,04-May,Left wheel,White
1999,4.0,2,-,HYUNDAI,Galloper,Jeep,No,Diesel,2.5 Turbo,200000 km,Automatic,4x4,04-May,Left wheel,Green
2005,6.0,12,-,MERCEDES-BENZ,CLS 350,Coupe,Yes,Petrol,3.5,92800 km,Tiptronic,Front,04-May,Left wheel,Silver
2016,4.0,12,1051,KIA,Optima,Sedan,No,Petrol,2.4,74500 km,Tiptronic,Front,04-May,Left wheel,Carnelian red
2011,4.0,4,707,HYUNDAI,Sonata,Sedan,Yes,LPG,2,85419 km,Automatic,Front,04-May,Left wheel,White
2012,4.0,0,642,AUDI,Q5,Jeep,Yes,Petrol,2,340106 km,Automatic,4x4,04-May,Left wheel,White
2013,4.0,4,640,SSANGYONG,Korando,Jeep,Yes,Diesel,2,71561 km,Automatic,Front,04-May,Left wheel,Grey
2014,4.0,0,333,SUBARU,XV,Jeep,Yes,Hybrid,2,123472 km,Automatic,4x4,04-May,Left wheel,White
2013,4.0,0,585,MERCEDES-BENZ,C 250,Sedan,Yes,Petrol,1.8,121712 km,Automatic,Rear,04-May,Left wheel,White
2015,4.0,6,934,TOYOTA,RAV 4,Jeep,No,Petrol,2.5,71104 km,Automatic,4x4,04-May,Left wheel,White
2010,6.0,12,1399,MERCEDES-BENZ,E 350,Sedan,Yes,Diesel,3.5,205968 km,Automatic,4x4,04-May,Left wheel,White
2007,4.0,12,867,FIAT,500,Coupe,Yes,Diesel,1.3 Turbo,150000 km,Manual,Front,02-Mar,Left wheel,Beige
2015,4.0,8,697,HYUNDAI,Elantra,Sedan,No,Petrol,1.8,110000 km,Tiptronic,Front,04-May,Left wheel,Silver
2011,4.0,4,644,CHEVROLET,Cruze,Sedan,Yes,Petrol,1.8,77906 km,Automatic,Front,04-May,Left wheel,Black
2011,4.0,12,707,DODGE,Caliber,Hatchback,Yes,Petrol,2,168166 km,Automatic,Front,04-May,Left wheel,Orange
2011,6.0,12,1172,MERCEDES-BENZ,E 350,Coupe,Yes,Diesel,3.5,226251 km,Automatic,Rear,02-Mar,Left wheel,Black
2014,4.0,4,639,HYUNDAI,Sonata,Sedan,Yes,LPG,2,347600 km,Automatic,Front,04-May,Left wheel,Silver
